GRUPO;NGR
1;6.47
1;5.42
1;6.09
1;5.83
1;6.27
1;5.95
1;6.04
1;6.35
1;5.60
1;5.80
2;6.09
2;5.94
2;5.75
2;5.51
2;6.34
2;5.65
2;6.42
2;6.04
2;5.51
2;5.44
3;5.61
3;5.40
3;5.26
3;4.99
3;5.44
3;5.13
3;5.21
3;5.52
3;4.79
3;4.92
4;7.35
4;7.11
4;6.09
4;6.72
4;7.61
4;6.85
4;6.94
4;7.95
4;6.51
4;6.65
